tt0020531	short	Unaccustomed As We Are	Unaccustomed As We Are	0	1929	\N	21	Comedy,Short
tt0020793	movie	Escape from Dartmoor	A Cottage on Dartmoor	0	1929	\N	88	Crime,Drama
tt0020866	movie	Extravagance	Extravagance	0	1930	\N	71	Drama,Romance
tt0020873	movie	Fast and Loose	Fast and Loose	0	1930	\N	70	Comedy,Romance
tt0020927	short	The Golf Specialist	The Golf Specialist	0	1930	\N	20	Comedy,Short,Sport
tt0021040	movie	Ladies of Leisure	Ladies of Leisure	0	1930	\N	99	Drama,Romance
tt0021189	movie	Not So Dumb	Not So Dumb	0	1930	\N	76	Comedy
tt0021365	movie	The Ship from Shanghai	The Ship from Shanghai	0	1930	\N	67	Action,Crime,Drama
tt0021484	movie	Tonka Sibenice	Tonka Sibenice	0	1930	\N	85	Drama
tt0021505	movie	The Unholy Three	The Unholy Three	0	1930	\N	72	Crime,Drama,Romance
tt0021508	movie	Up the River	Up the River	0	1930	\N	92	Comedy,Crime,Drama
tt0021511	movie	The Vagabond King	The Vagabond King	0	1930	\N	104	Musical,Romance
tt0021530	short	The Wall Street Mystery	The Wall Street Mystery	0	1931	\N	17	Comedy,Mystery,Short
tt0021635	movie	Bad Girl	Bad Girl	0	1931	\N	90	Drama,Romance
tt0021653	movie	Mountains on Fire	Berge in Flammen	0	1931	\N	109	Drama,War
tt0021659	movie	The Big Gamble	The Big Gamble	0	1931	\N	65	Crime,Drama,Romance
tt0021840	movie	Everything's Rosie	Everything's Rosie	0	1931	\N	67	Comedy,Romance
tt0021847	movie	The False Madonna	The False Madonna	0	1931	\N	70	Crime,Drama,Romance
tt0021963	movie	His Woman	His Woman	0	1931	\N	76	Drama,Romance
tt0022204	movie	Hell on Earth	Niemandsland	0	1931	\N	93	Drama,War
tt0022214	movie	Oatsurae Jirôkichi koshi	Oatsurae Jirôkichi koshi	0	1931	\N	80	Action,Drama
tt0022279	movie	Private Lives	Private Lives	0	1931	\N	84	Comedy,Drama,Romance
tt0022660	movie	The Beast of the City	The Beast of the City	0	1932	\N	86	Crime,Drama,Film-Noir
tt0022689	movie	Bird of Paradise	Bird of Paradise	0	1932	\N	80	Adventure,Drama,Romance
tt0022711	short	Bosko the Lumberjack	Bosko the Lumberjack	0	1932	\N	8	Animation,Comedy,Family
tt0022715	short	Bosko's Store	Bosko's Store	0	1932	\N	8	Animation,Comedy,Family
tt0022733	movie	By Whose Hand?	By Whose Hand?	0	1932	\N	65	Mystery
tt0022741	short	Silvery Moon	Silvery Moon	0	1933	\N	6	Animation,Family,Fantasy
tt0022792	movie	The Crowd Roars	The Crowd Roars	0	1932	\N	85	Action,Drama,Sport
tt0022800	short	The Dancing Fool	The Dancing Fool	0	1932	\N	7	Animation,Comedy,Family
tt0022864	movie	The Expert	The Expert	0	1932	\N	68	Comedy,Drama
tt0022888	movie	The Final Edition	The Final Edition	0	1932	\N	66	Crime,Drama
tt0023066	movie	Is My Face Red?	Is My Face Red?	0	1932	\N	66	Action,Crime,Drama
tt0023084	short	Just a Gigolo	Just a Gigolo	0	1932	\N	8	Animation,Comedy,Family
tt0023238	movie	The Most Dangerous Game	The Most Dangerous Game	0	1932	\N	63	Action,Adventure,Thriller
tt0023247	movie	Murder at Dawn	Murder at Dawn	0	1932	\N	62	Crime,Drama,Horror
tt0023277	movie	No Man of Her Own	No Man of Her Own	0	1932	\N	85	Drama,Romance
tt0023327	movie	Penguin Pool Murder	Penguin Pool Murder	0	1932	\N	70	Comedy,Drama,Mystery
tt0023406	movie	The Roadhouse Murder	The Roadhouse Murder	0	1932	\N	73	Thriller
tt0023480	movie	6 Hours to Live	6 Hours to Live	0	1932	\N	72	Drama,Mystery,Sci-Fi
tt0023488	movie	Smilin' Through	Smilin' Through	0	1932	\N	98	Drama,Romance
tt0023582	movie	Thirteen Women	Thirteen Women	0	1932	\N	73	Drama,Horror,Mystery
tt0023646	movie	Uptown New York	Uptown New York	0	1932	\N	80	Drama,Romance
tt0023718	short	You're Too Careless with Your Kisses!	You're Too Careless with Your Kisses!	0	1932	\N	7	Animation,Comedy,Family
tt0023835	short	Bosko's Mechanical Man	Bosko's Mechanical Man	0	1933	\N	6	Animation,Comedy,Family
tt0023856	movie	Bureau of Missing Persons	Bureau of Missing Persons	0	1933	\N	73	Comedy,Crime,Drama
tt0023960	movie	Double Harness	Double Harness	0	1933	\N	69	Comedy,Drama
tt0023973	movie	The Eagle and the Hawk	The Eagle and the Hawk	0	1933	\N	73	Action,Drama,War
tt0023986	movie	Employees' Entrance	Employees' Entrance	0	1933	\N	75	Drama,Romance
tt0023996	movie	F. P. 1 Doesn't Answer	F.P.1	0	1933	\N	93	Fantasy,Sci-Fi
tt0024034	movie	42nd Street	42nd Street	0	1933	\N	89	Comedy,Musical,Romance
tt0024072	movie	Goldie Gets Along	Goldie Gets Along	0	1933	\N	68	Comedy,Drama,Romance
tt0024262	movie	The Little Giant	The Little Giant	0	1933	\N	76	Comedy,Crime,Romance
tt0024310	movie	Children of Montmartre	La maternelle	0	1933	\N	83	Drama
