tt7430722	6.8	9999
tt4445154	8.1	9997
tt2229907	6.3	9996
tt0294097	8	9994
tt0264734	6.5	9993
tt2032572	5.2	9991
tt8860450	6.3	9991
tt0112492	4	999
tt0696544	8.2	999
tt0064217	6.3	999
tt0062690	6.1	999
tt7201150	8.5	999
tt0862946	6.1	999
tt2471626	7.6	999
tt7681970	5.3	999
tt0069987	6.4	999
tt2171651	7.8	999
tt0708910	7.8	999
tt0298514	6.9	999
tt0062155	6.9	999
tt5240258	6	999
tt1859607	5.3	999
tt4082482	6.8	999
tt1077089	7.3	999
tt0701236	7.3	999
tt7508752	7.9	999
tt2195566	7.9	999
tt0025173	6.6	999
tt0664505	8.4	999
tt0169473	7.8	999
tt4799914	7.9	999
tt0385988	3.4	999
tt3244036	8.3	999
tt1739480	6.9	999
tt0245247	8.3	999
tt0065780	7.9	9989
tt0086827	6.5	9989
tt5140878	6.5	99874
tt0096426	6.2	9986
tt1465533	6	9982
tt0437729	8.3	9981
tt0325055	6.3	9980
tt2082496	7.2	998
tt0828981	8.1	998
tt1018825	8.5	998
tt0089599	7.7	998
tt0111175	5.1	998
tt4515762	4.8	998
tt0708617	8.5	998
tt0702965	8.3	998
tt0097810	7.9	998
tt0313608	5.3	998
tt0363263	7	998
tt5449580	8.6	998
tt0410316	7.2	998
tt0063946	7.6	998
tt4135976	8.2	998
tt0701274	7.1	998
tt1383514	8.5	998
tt0040614	6.5	998
tt0708850	7.1	998
tt1427279	8.2	998
tt3095464	6.9	998
tt0708666	6.9	998
tt8399436	8.6	998
tt1603616	8.1	998
tt4197858	5.8	998
tt0229002	6.2	998
tt1189259	5.9	998
tt0734675	7.8	998
tt0122837	7.7	998
tt4214834	6.8	998
tt3271700	6.4	998
tt7535756	7.4	998
tt1518912	8.9	998
tt0471768	6.7	998
tt7802476	8.9	998
tt5707408	7.6	998
tt1850218	8.3	998
tt0060754	6.6	998
tt9783778	1.7	998
tt1103798	6.6	998
tt0488988	5.7	9979
tt0109327	6.1	9973
tt0364616	3.4	997
tt7538958	6.2	997
tt1329672	7.3	997
tt3237470	8.1	997
tt5237552	7.2	997
tt0402406	7.4	997
tt0061014	4.1	997
tt4384350	7.1	997
tt1615676	5.1	997
tt0701216	7.1	997
tt0321780	6.1	997
tt0034622	6.8	997
tt1130989	5.1	997
tt4913006	9.4	997
tt5707048	7.2	997
tt0075364	6.6	997
tt0407441	7	997
tt0072665	4.9	997
tt0489793	6.8	997
tt0105577	6.1	997
tt1865357	7	997
tt0592909	8.3	997
tt0407021	6.8	997
tt2211327	7.7	997
tt0043736	6.3	997
tt7813706	8.5	997
tt2702678	7.8	997
tt0071385	6.1	997
tt5563350	8.6	997
tt0068983	7.4	997
tt0107630	6.8	9968
tt2006374	7.5	9966
tt0120520	7.1	9965
tt0070666	7.7	99619
tt0283111	6.4	99611
tt1632547	7.1	9960
tt0127276	4.6	996
tt0423034	6.3	996
tt5329344	8.7	996
tt0060648	7.3	996
tt6638248	9.7	996
tt0097109	5.3	996
tt0253827	5.5	996
tt4151942	8.2	996
tt0701106	6.7	996
tt2425852	5.7	996
tt1334521	5.4	996
tt7714136	7	996
tt3957278	3.3	996
tt4391834	7.5	996
tt0086981	5.2	996
tt4923846	5.9	996
tt0708651	7.3	996
tt0102979	6.4	996
tt1821607	5.8	996
tt0112993	5.6	996
tt0025132	6.4	996
tt3244038	8	996
tt0366848	7.1	996
tt0758017	6.1	996
tt5812512	8	996
tt0080652	7.3	996
tt6153418	7.6	996
tt6417204	7	996
tt0120790	7	996
tt0572233	8.5	996
tt0964948	7.4	996
tt0042270	7.6	996
tt1683853	7.9	996
tt2916072	8.9	996
tt0519625	7.8	996
tt0203853	5.3	996
tt5248854	9.3	996
tt0256858	5.6	996
tt1868269	8.6	996
tt0091507	7	996
tt0701238	7	996
tt10080416	8.1	996
tt10329046	6.3	996
tt1444252	3.6	996
tt0709118	9.5	996
tt5882398	6.5	996
tt1756851	4.8	9957
tt0048956	8.3	9955
tt0120882	6.1	9954
tt4370596	7.7	9953
tt1421373	8.5	9951
tt0401383	8	99501
tt0433400	6.2	99501
tt0314806	7.8	995
tt0109730	5.8	995
tt0067464	7.5	995
tt3422462	4.6	995
tt1387739	8.1	995
tt1594360	8.1	995
tt0469785	8.7	995
tt2626926	6.5	995
tt8634192	6.5	995
tt9348166	8.8	995
tt5896962	6.1	995
tt0249131	6.3	995
tt0019304	6.7	995
tt0053441	6.6	995
tt1263288	9.1	995
tt2733692	8.1	995
tt0735184	8	995
tt0556311	8.5	995
tt0046770	6.1	995
tt1343362	3.6	995
tt4859618	8.9	995
tt0052394	2.3	995
tt1097013	5.8	9948
tt1509767	5.7	99463
tt2752688	6.6	9945
tt0902955	7	9945
tt7115920	7.5	994
tt0287198	8.2	994
tt0408309	1.6	994
tt7332652	5	994
tt0415234	6.4	994
tt1403085	7	994
tt5822690	6	994
tt0708868	6.9	994
tt0082666	7.1	994
tt0701188	7.3	994
tt0708622	8.4	994
tt0049147	7.6	994
tt1758563	5.5	994
tt9567906	7.7	994
tt1510274	5.7	994
tt0075152	6.9	994
tt6937070	6.4	994
tt2171993	6.5	994
tt7109900	8.1	994
tt5218496	8.6	994
tt1560164	6	994
tt8074486	3.3	994
tt3564574	5.6	994
tt0512913	7.2	994
tt0556289	8.7	994
tt1558972	6.9	994
tt4692242	6.5	994
tt0113598	7.2	994
tt1895334	6	994
tt0720167	7.8	994
tt9558468	5.9	994
tt1185919	7.5	994
tt0793424	7.4	994
tt0069865	7.5	9938
tt0780653	5.8	99362
tt0042369	7.3	9936
tt6777338	6.7	9935
tt1540741	5.8	9931
tt5167934	4.4	993
tt0041257	7.2	993
tt0222167	4.6	993
tt6734202	7.3	993
tt2239650	8.7	993
tt6599052	7.7	993
tt7431894	6.2	993
tt0077373	6.3	993
tt0708896	6.1	993
tt0462246	6.8	993
tt4419794	6.5	993
tt1320581	8.7	993
tt0309369	6.7	993
tt4259696	8.5	993
tt0099520	5.1	993
tt2374002	7.1	993
tt2279513	8.4	993
tt0104504	7.5	993
tt0043360	4.4	993
tt0502265	9.2	993
tt0716896	7.2	993
tt0368725	5.8	993
tt6147260	6.1	993
tt2202611	7.4	993
tt2150275	8.4	993
tt0061994	6	993
tt1155413	8	993
tt4459912	4.7	993
tt0271543	4.7	993
tt0668282	9.2	993
tt0708907	7.7	993
tt0076706	7	993
tt0126861	5.4	993
tt2471940	7.8	993
tt0708635	7.2	993
tt0121262	3.2	993
tt1567609	7	99293
tt6556890	5.9	9929
tt0111323	6.2	9929
tt0436697	7.3	99273
tt0095652	6.2	9927
tt0037865	7.6	9925
tt0240890	6.9	99239
tt0485323	7.4	9923
tt1965272	6	9923
tt0037635	7.7	9922
tt0252591	8.5	9920
tt0036546	6.9	992
tt0077399	7.7	992
tt1589765	6.8	992
tt0362246	6.3	992
tt1322835	7.5	992
tt6015706	3	992
tt1282605	8.5	992
tt5470704	7	992
tt7776838	7.2	992
tt3254454	8.2	992
tt0174707	7.1	992
tt0076172	6.5	992
tt0519617	8.6	992
tt0239670	6	992
tt5917374	7.9	992
tt2132374	6.3	992
tt0864054	6.7	992
tt2624872	8.2	992
tt0054116	7.3	992
tt0250122	7.2	992
tt2763790	7	992
tt0061250	6.7	992
tt6383494	6.8	992
tt0251756	6.1	992
tt0213322	7.2	992
tt0429489	7.1	992
tt0114196	4.1	992
tt0184316	8.1	992
tt0772202	5.5	992
tt0502200	8.8	992
tt5651032	7.5	992
tt0078764	6.9	992
tt1642359	8	992
tt0377575	7.4	992
tt0161633	4	992
tt1997455	7.6	992
tt1242543	7.1	992
tt0224025	4.1	992
tt0077332	5.4	992
tt0965404	6.6	992
tt0329794	1.1	992
tt0085551	6.8	992
tt2334593	6.6	992
tt0819791	6.8	992
tt1548018	7.6	992
tt1891755	6.2	9919
tt0367959	6.2	99182
tt0449086	5.2	9918
tt0338337	6.3	99163
tt6290024	9.6	9915
tt0024034	7.4	9915
tt0405743	7.2	9913
tt0013427	7.6	9910
tt9308456	6	991
tt0572232	7.8	991
tt0075975	6.9	991
tt0072662	6.6	991
tt6881870	6.6	991
tt0708989	7.3	991
tt1350929	8.1	991
tt0512905	7.3	991
tt2005617	7.5	991
tt2543928	8.7	991
tt1682456	9	991
tt0048077	5.9	991
tt0067963	5.8	991
tt0159509	7.4	991
tt1477131	8.3	991
tt0368555	5.8	991
tt0285312	8.1	991
tt0077060	8.4	991
tt2250991	8.2	991
tt0054205	7.1	991
tt2289518	8.6	991
tt0050470	6.4	991
tt0216707	5.1	991
tt0040190	8	991
tt8580348	6.5	991
tt0053033	7.1	991
tt0379311	9	991
tt0381942	5.2	991
tt6170130	6.8	991
tt0023986	7.2	991
tt7086992	7.9	991
tt8451426	7.4	991
tt0212448	8.2	991
tt1469916	9.3	991
tt10322306	9.2	991
tt2443940	7.4	991
tt0079517	7.3	991
tt0046026	5.8	991
tt0708847	6.5	991
tt0475627	4.9	991
tt9495224	7.2	99090
tt1854513	7.5	9909
tt0287467	7.9	99022
tt4452630	8.1	9902
tt0840322	7.2	9900
tt6421480	5.8	990
tt0079753	5.2	990
tt1786704	6.4	990
tt5989394	7.1	990
tt7197038	7	990
tt0708867	7.4	990
tt0162662	6.2	990
tt0041387	6.5	990
tt0049639	7	990
tt5197614	8.1	990
tt0306228	4.9	990
tt1321561	8.2	990
tt1185917	7.4	990
tt0033283	6.3	990
tt1185908	7.5	990
tt0120494	6.8	990
tt5128266	5.2	990
tt0238247	6.4	990
tt0735171	7.8	990
tt1297945	3.5	990
tt4259788	8.4	990
tt1467061	6.3	990
tt0042744	6.2	990
tt0701071	6.1	990
tt0502196	8.5	990
tt7130192	6	990
tt3231286	7.1	990
tt7263664	6.4	990
tt0419739	8.1	990
tt0240292	8.1	990
tt6303292	9	990
tt0037764	7.9	990
tt1518911	8.8	990
tt4442604	6.5	990
tt1268989	6.8	990
tt4282648	8.2	990
tt5440238	7.6	990
tt1598496	6.2	990
tt0313162	5.9	990
tt0324619	6.6	990
tt4861558	5.8	990
tt0995850	6.5	990
tt7535964	6.1	990
tt0220363	7.2	990
tt0060188	5.4	990
tt2070471	6.9	990
tt1119178	4.3	990
tt0923050	8.4	99
tt3451968	6.2	99
tt0625467	7.8	99
tt0936016	7.6	99
tt10409554	6.3	99
tt0090954	6.2	99
tt3232078	7.7	99
tt4526164	3.6	99
tt4144662	7.3	99
tt0693134	7.5	99
tt0228094	6.8	99
tt0030270	6.8	99
tt1955041	7.2	99
tt0641093	7.5	99
tt0788451	8.5	99
tt0673209	8.1	99
tt5515060	8.1	99
tt10946792	8.3	99
tt2618134	6.1	99
tt3140108	5.7	99
tt6092004	9.4	99
tt1036138	7.7	99
tt6464566	7.8	99
tt0200124	6.5	99
tt1139478	7.5	99
tt2458010	3.7	99
tt0061164	6.8	99
tt10332672	7	99
tt0694075	8.3	99
tt0174251	7.5	99
tt3622108	5.6	99
tt0333842	5	99
tt0256165	7.7	99
tt3321326	8.1	99
tt3735676	7	99
tt4933242	9.1	99
tt6799504	8.6	99
tt0789619	7.5	99
tt1996014	8.1	99
tt9225802	6.1	99
tt0443651	6.7	99
tt5792582	8.2	99
tt8630072	8.9	99
tt0298419	6.7	99
tt0152841	6.2	99
tt0151590	7.1	99
tt0062619	4.6	99
tt7518532	6.5	99
tt5783112	5.3	99
tt0834473	7.9	99
tt0922751	9	99
tt0445119	8.4	99
tt1971347	5.7	99
tt0037121	5.7	99
tt6111980	7.7	99
tt2200436	8.5	99
tt2338341	6.7	99
tt0447732	6.7	99
tt10518744	6.7	99
tt1024850	6.1	99
tt0212884	4.5	99
tt0922832	9.2	99
tt0053892	6.9	99
tt1492838	6.2	99
tt0093746	7.9	99
tt0136642	7.5	99
tt0193225	5.2	99
tt6683732	8.2	99
tt3037358	7.9	99
tt4945466	6.5	99
tt2220540	8	99
tt1856789	7.4	99
tt2734974	5.3	99
tt0642907	8	99
tt9916380	9.3	99
tt0115529	6.1	99
tt0216533	5.8	99
tt0115671	3.5	99
tt3211128	6.9	99
tt2201385	7.6	99
tt0510320	7.5	99
tt0034046	6.1	99
tt0165504	7.1	99
tt3105182	8.3	99
tt6828392	7.9	99
tt4161892	7.7	99
tt0183943	4.9	99
tt7923278	7.5	99
tt0368338	6.3	99
tt0055616	6.5	99
tt5294046	7.3	99
tt0829046	8.1	99
tt2137549	8.2	99
tt0809800	8.5	99
tt7408002	6.1	99
tt0097405	4.7	99
tt1231944	7.6	99
tt1334174	7.9	99
tt6060698	7.6	99
tt0110760	5.8	99
tt9618254	8.5	99
tt7630150	6.1	99
tt1173467	6.7	99
tt0072683	8.2	99
tt0090686	6.1	99
tt0557373	7.6	99
tt0198267	6.5	99
tt9347558	8.2	99
tt3310172	7.3	99
tt0500318	8	99
tt0823154	7.1	99
tt0457180	8.1	99
tt0593990	8.1	99
tt1688397	7.8	99
tt0750228	7.8	99
tt2679998	7.1	99
tt6243472	1.9	99
tt9089908	5.5	99
tt0043830	6.7	99
tt0352113	7.3	99
tt0087602	6.7	99
tt2253566	6.8	99
tt1120065	7.5	99
tt0443426	7.4	99
tt0035220	5	99
tt5149052	7.9	99
tt0276670	5.6	99
tt0212335	7.2	99
tt1064189	7.8	99
tt0749555	3.9	99
tt0398388	7.1	99
tt0903132	6.6	99
tt6882618	9.7	99
tt7006332	7.1	99
tt0091665	5.2	99
tt4584792	4.5	99
tt0087548	9.1	99
tt0087811	5.8	99
tt0109102	5.7	99
tt0477387	4.7	99
tt2289049	6.7	99
tt0155269	6	99
tt0084908	7.3	99
tt0184067	6.1	99
tt1104426	8.2	99
tt1015158	4.9	99
tt0560388	7.4	99
tt0136193	5.9	99
tt2181882	8	99
tt4129316	7.6	99
tt5155394	7.9	99
tt0649340	7.5	99
tt0500269	6.2	99
tt1719540	7.2	99
tt0045083	7	99
tt4311072	6.3	99
tt4490770	9.5	99
tt0762151	8	99
tt0168336	7.9	99
tt0761404	8.7	99
tt0091414	6.4	99
tt1010771	8	99
tt0085336	6.9	99
tt0088637	7.4	99
tt3334350	8	99
tt2823518	6.6	99
tt8571716	7.1	99
tt4032570	6.5	99
tt0569404	8	99
tt5016996	6.9	99
tt0031277	7	99
tt0110562	6.5	99
tt0067901	5.4	99
tt3587874	8.7	99
tt0305884	7	99
tt1178623	6.9	99
tt0250372	5	99
tt2571388	8.1	99
tt0069734	5.2	99
tt1584651	7.8	99
tt0456799	8.2	99
tt0480087	4.3	99
tt1441938	5.2	99
tt3259224	5.8	99
tt0147793	8.2	99
tt0871611	7.7	99
tt0075536	8.9	99
tt7145012	6.4	99
tt4466446	7.9	99
tt0811008	8.2	99
tt1227355	7.4	99
tt0175529	7.1	99
tt3647352	7.5	99
tt0587602	7.7	99
tt7400672	5.2	99
tt0033425	6.7	99
tt1043335	7.3	99
tt2423188	7.1	99
tt0939858	5.1	99
tt8432526	7.9	99
tt0045079	6	99
tt0211328	3.8	99
tt0041167	7	99
tt2878302	7.8	99
tt1127274	7.5	99
tt0369073	8.4	99
tt2294917	7	99
tt0059983	7.9	99
tt0166859	6.5	99
tt0166833	7.1	99
tt4541600	7.2	99
tt6922826	8.6	99
